Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7,71.0,No,7.0,8,66.0
9,69.0,No,4.0,2,65.0
4,47.0,Yes,5.0,209,27.0
1,60.0,Yes,7.0,4,33.0
2,61.0,Yes,,6,37.0
1,57.0,No,9.0,2,29.0
5,,No,8.0,4,26.0
5,87.0,No,5.0,3,72.0
7,83.0,Yes,5.0,6,77.0
9,,Yes,8.0,1,45.0
9,42.0,No,8.0,209,41.0
3,93.0,Yes,7.0,209,73.0
3,65.0,Yes,4.0,2,43.0
3,60.0,Yes,4.0,109,39.0
4,,Yes,6.0,6,54.0
8,67.0,Yes,,5,62.0
6,75.0,No,4.0,6,63.0
8,65.0,No,6.0,5,59.0
1,,No,6.0,0,46.0
8,47.0,No,5.0,4,42.0
4,49.0,No,5.0,109,30.0
1,87.0,Yes,9.0,109,63.0
8,94.0,Yes,7.0,209,89.0
4,82.0,Yes,,4,62.0
6,89.0,No,8.0,109,77.0
8,,Yes,9.0,7,88.0
4,53.0,Yes,6.0,3,35.0
3,79.0,Yes,9.0,2,60.0
9,94.0,No,8.0,0,92.0
3,54.0,Yes,6.0,3,38.0
9,56.0,Yes,8.0,2,56.0
2,92.0,No,7.0,7,70.0
2,57.0,No,5.0,8,35.0
2,71.0,Yes,5.0,4,47.0
6,77.0,No,6.0,8,66.0
3,62.0,Yes,9.0,0,43.0
9,85.0,No,8.0,6,81.0
4,62.0,Yes,4.0,209,43.0
1,,Yes,7.0,5,46.0
4,78.0,No,8.0,3,61.0
1,54.0,No,4.0,209,27.0
5,92.0,No,7.0,2,77.0
4,63.0,No,7.0,209,43.0
8,67.0,Yes,5.0,1,60.0
8,55.0,No,6.0,2,48.0
7,55.0,Yes,,1,47.0
3,79.0,Yes,7.0,5,60.0
1,78.0,Yes,8.0,6,53.0
1,45.0,No,7.0,4,19.0
3,41.0,Yes,9.0,4,23.0
6,93.0,Yes,5.0,6,81.0
7,52.0,No,,5,41.0
6,83.0,Yes,4.0,7,71.0
6,86.0,Yes,4.0,8,75.0
6,98.0,Yes,9.0,1,89.0
3,48.0,No,,1,28.0
6,73.0,Yes,7.0,0,60.0
8,56.0,Yes,5.0,6,54.0
2,66.0,Yes,6.0,3,41.0
5,68.0,No,4.0,8,52.0
1,76.0,No,8.0,5,53.0
1,82.0,No,4.0,6,52.0
5,61.0,Yes,6.0,6,47.0
3,90.0,Yes,7.0,7,71.0
4,63.0,Yes,5.0,3,42.0
3,46.0,Yes,,2,21.0
1,,Yes,,2,48.0
1,87.0,No,8.0,9,64.0
5,,Yes,,7,38.0
6,62.0,Yes,8.0,2,49.0
3,54.0,No,,7,35.0
9,72.0,No,7.0,1,73.0
5,96.0,Yes,4.0,4,81.0
8,52.0,No,9.0,4,47.0
1,62.0,No,5.0,6,36.0
5,77.0,No,,4,63.0
3,71.0,Yes,9.0,8,52.0
1,84.0,No,7.0,2,58.0
4,,Yes,7.0,8,77.0
5,74.0,No,6.0,0,58.0
7,40.0,Yes,6.0,2,33.0
1,86.0,Yes,7.0,3,67.0
3,,Yes,6.0,5,76.0
2,84.0,No,5.0,9,62.0
9,44.0,No,4.0,7,37.0
6,,No,,6,86.0
3,52.0,Yes,5.0,7,37.0
8,93.0,No,4.0,5,88.0
8,,No,6.0,209,38.0
2,99.0,Yes,9.0,5,76.0
6,71.0,No,5.0,2,57.0
7,90.0,Yes,8.0,9,82.0
2,60.0,No,,3,35.0
2,63.0,Yes,,5,41.0
1,99.0,Yes,4.0,6,75.0
8,57.0,No,8.0,2,51.0
1,,Yes,8.0,3,34.0
9,93.0,No,7.0,5,92.0
6,49.0,No,6.0,209,39.0
7,63.0,No,5.0,6,56.0
7,79.0,No,5.0,209,69.0
3,86.0,Yes,5.0,9,69.0
2,,Yes,6.0,209,40.0
9,64.0,Yes,7.0,9,63.0
8,,No,,8,86.0
7,99.0,No,4.0,109,89.0
9,96.0,Yes,4.0,3,94.0
4,98.0,Yes,4.0,1,79.0
4,,No,8.0,109,44.0
1,61.0,No,8.0,3,33.0
8,43.0,No,6.0,4,36.0
3,73.0,Yes,5.0,0,50.0
7,95.0,No,8.0,9,94.0
2,45.0,Yes,4.0,109,22.0
2,67.0,No,8.0,6,44.0
7,70.0,Yes,4.0,2,60.0
6,74.0,No,5.0,9,64.0
3,78.0,Yes,6.0,109,58.0
9,81.0,Yes,7.0,9,78.0
6,,Yes,7.0,6,51.0
6,45.0,No,4.0,209,30.0
1,55.0,Yes,8.0,1,29.0
4,41.0,Yes,8.0,2,22.0
6,,No,4.0,3,51.0
6,56.0,Yes,5.0,4,45.0
5,84.0,Yes,4.0,3,70.0
1,40.0,No,5.0,9,10.0
8,45.0,Yes,6.0,2,38.0
5,,No,6.0,0,30.0
5,96.0,Yes,,6,82.0
7,,No,,9,74.0
4,,Yes,,5,87.0
6,94.0,Yes,5.0,1,77.0
4,89.0,Yes,,1,72.0
3,68.0,No,7.0,2,51.0
7,51.0,Yes,6.0,7,40.0
8,,Yes,5.0,7,72.0
4,,No,8.0,9,68.0
2,,No,,9,22.0
3,87.0,No,8.0,9,67.0
1,40.0,Yes,8.0,9,18.0
8,,Yes,7.0,7,64.0
3,87.0,Yes,,6,66.0
7,63.0,No,6.0,1,50.0
5,83.0,No,5.0,0,68.0
5,58.0,Yes,4.0,5,44.0
7,,Yes,5.0,7,90.0
9,47.0,No,4.0,0,41.0
5,,No,,2,83.0
1,83.0,No,8.0,209,57.0
1,86.0,Yes,,9,64.0
2,,No,8.0,8,18.0
6,69.0,No,5.0,6,62.0
9,69.0,No,9.0,7,66.0
8,,No,,109,85.0
5,78.0,Yes,8.0,2,62.0
1,84.0,No,9.0,209,62.0
7,71.0,Yes,6.0,1,62.0
5,,Yes,,5,26.0
6,77.0,No,6.0,4,66.0
7,52.0,No,6.0,3,43.0
3,50.0,Yes,5.0,5,30.0
3,49.0,No,7.0,5,25.0
5,87.0,Yes,9.0,2,77.0
6,98.0,No,5.0,1,88.0
9,65.0,Yes,4.0,8,62.0
5,95.0,Yes,5.0,7,82.0
1,,Yes,9.0,3,73.0
4,59.0,No,8.0,5,44.0
5,56.0,Yes,5.0,2,40.0
5,56.0,Yes,,7,39.0
7,43.0,No,5.0,2,34.0
4,44.0,No,9.0,1,27.0
1,99.0,Yes,4.0,6,73.0
5,,Yes,7.0,2,46.0
7,85.0,No,,8,78.0
6,91.0,Yes,5.0,109,80.0
5,49.0,No,4.0,209,33.0
4,85.0,No,9.0,1,68.0
2,67.0,No,,8,45.0
4,72.0,Yes,8.0,0,56.0
3,82.0,No,6.0,2,58.0
1,65.0,Yes,4.0,109,37.0
8,94.0,Yes,8.0,6,88.0
5,,No,7.0,109,75.0
4,87.0,No,8.0,7,70.0
8,68.0,No,5.0,1,62.0
7,66.0,No,6.0,7,57.0
2,57.0,Yes,4.0,6,32.0
1,79.0,Yes,9.0,4,53.0
4,99.0,No,7.0,1,82.0
8,49.0,Yes,6.0,9,41.0
2,,No,7.0,6,75.0
3,81.0,Yes,,9,63.0
1,44.0,Yes,7.0,3,17.0
1,49.0,Yes,7.0,3,24.0
3,89.0,No,8.0,7,69.0
5,60.0,Yes,8.0,5,47.0
3,63.0,Yes,6.0,8,43.0
1,,Yes,4.0,1,48.0
1,,Yes,8.0,4,17.0
8,79.0,No,6.0,5,75.0
2,70.0,Yes,7.0,7,54.0
3,80.0,No,7.0,3,59.0
2,76.0,No,9.0,6,56.0
3,41.0,Yes,,6,20.0
7,41.0,Yes,,3,34.0
1,78.0,No,6.0,0,54.0
8,88.0,No,9.0,2,83.0
2,81.0,No,,1,59.0
3,83.0,Yes,4.0,2,63.0
9,73.0,Yes,,4,72.0
7,,No,6.0,0,70.0
4,59.0,No,8.0,4,41.0
5,72.0,No,6.0,1,54.0
2,43.0,Yes,5.0,3,21.0
8,84.0,Yes,7.0,5,83.0
4,83.0,No,7.0,8,64.0
9,,Yes,9.0,9,51.0
5,81.0,No,6.0,5,66.0
9,86.0,Yes,6.0,9,83.0
4,44.0,No,6.0,1,26.0
5,64.0,Yes,6.0,7,49.0
9,88.0,Yes,5.0,4,85.0
8,99.0,Yes,8.0,8,95.0
3,76.0,Yes,5.0,9,56.0
1,,Yes,,8,50.0
3,48.0,Yes,5.0,3,23.0
4,,Yes,7.0,0,26.0
2,57.0,No,5.0,8,30.0
1,53.0,No,6.0,8,28.0
7,58.0,No,5.0,209,48.0
8,53.0,Yes,6.0,4,46.0
7,79.0,Yes,,109,73.0
5,56.0,Yes,8.0,9,45.0
1,,No,7.0,5,76.0
7,,No,8.0,0,71.0
7,68.0,No,9.0,8,60.0
9,81.0,No,8.0,4,77.0
3,56.0,No,7.0,109,36.0
9,98.0,No,6.0,7,96.0
1,82.0,Yes,9.0,4,62.0
1,47.0,No,9.0,2,22.0
4,,Yes,6.0,5,21.0
9,84.0,No,6.0,6,79.0
6,92.0,No,7.0,3,82.0
3,75.0,Yes,5.0,8,55.0
1,46.0,Yes,4.0,3,22.0
4,85.0,Yes,5.0,9,70.0
9,44.0,No,,1,37.0
3,63.0,No,8.0,8,42.0
9,67.0,Yes,4.0,3,64.0
7,82.0,No,6.0,209,72.0
4,56.0,Yes,5.0,109,42.0
3,76.0,No,,0,56.0
5,59.0,No,5.0,1,43.0
5,42.0,No,6.0,2,24.0
3,76.0,Yes,5.0,6,55.0
9,65.0,No,9.0,8,64.0
4,,Yes,8.0,4,34.0
5,90.0,Yes,8.0,3,78.0
4,87.0,Yes,5.0,1,71.0
5,47.0,Yes,8.0,6,33.0
7,52.0,Yes,7.0,5,46.0
9,87.0,Yes,4.0,6,86.0
7,42.0,Yes,5.0,7,34.0
5,40.0,Yes,7.0,8,26.0
7,48.0,Yes,9.0,209,44.0
5,70.0,No,7.0,4,53.0
3,,Yes,7.0,4,61.0
7,93.0,No,9.0,3,84.0
2,65.0,Yes,,2,40.0
9,56.0,No,5.0,109,53.0
1,95.0,No,5.0,4,67.0
6,73.0,No,,6,58.0
7,48.0,No,4.0,1,41.0
8,95.0,No,,8,89.0
9,90.0,No,5.0,8,85.0
2,52.0,Yes,8.0,8,33.0
2,44.0,Yes,6.0,4,20.0
5,80.0,Yes,9.0,9,66.0
5,52.0,Yes,9.0,109,38.0
6,40.0,Yes,4.0,0,25.0
3,64.0,Yes,9.0,1,43.0
8,86.0,No,6.0,209,79.0
1,43.0,Yes,7.0,4,16.0
6,75.0,No,9.0,4,67.0
4,91.0,No,9.0,5,80.0
1,49.0,No,8.0,7,26.0
7,67.0,No,7.0,0,57.0
9,,No,,9,91.0
4,45.0,No,6.0,8,29.0
4,66.0,Yes,9.0,3,48.0
6,95.0,No,8.0,7,84.0
3,51.0,No,6.0,4,33.0
6,91.0,Yes,4.0,0,82.0
7,87.0,Yes,,8,81.0
3,42.0,Yes,4.0,7,24.0
7,,Yes,9.0,4,81.0
3,,Yes,,3,54.0
2,49.0,Yes,5.0,7,25.0
4,,Yes,6.0,8,53.0
8,54.0,No,6.0,6,48.0
9,46.0,Yes,,3,40.0
7,75.0,No,8.0,6,66.0
1,53.0,Yes,8.0,5,29.0
3,95.0,Yes,4.0,2,73.0
9,87.0,No,8.0,9,89.0
1,,Yes,,2,27.0
9,42.0,Yes,,0,40.0
8,88.0,Yes,7.0,4,83.0
1,92.0,Yes,7.0,7,69.0
6,85.0,Yes,6.0,5,72.0
5,,Yes,6.0,7,77.0
6,,Yes,,6,32.0
5,,No,8.0,1,49.0
6,58.0,Yes,8.0,7,44.0
5,74.0,No,5.0,3,57.0
5,51.0,No,9.0,4,34.0
4,93.0,No,9.0,209,76.0
3,44.0,No,4.0,109,22.0
3,49.0,No,8.0,4,30.0
4,80.0,No,,5,67.0
9,72.0,No,5.0,6,71.0
2,52.0,Yes,7.0,209,29.0
9,74.0,Yes,,109,74.0
1,90.0,Yes,5.0,209,67.0
1,,No,7.0,9,46.0
5,50.0,Yes,4.0,3,34.0
6,,No,7.0,109,76.0
6,77.0,No,4.0,1,64.0
3,63.0,Yes,9.0,109,46.0
7,,No,9.0,9,68.0
9,58.0,No,6.0,109,58.0
8,45.0,Yes,6.0,4,41.0
6,,No,7.0,2,64.0
8,93.0,Yes,6.0,2,84.0
5,,No,8.0,0,70.0
8,83.0,No,7.0,4,77.0
4,81.0,Yes,5.0,2,60.0
8,74.0,Yes,8.0,1,65.0
2,43.0,Yes,7.0,8,21.0
5,72.0,No,9.0,9,60.0
9,52.0,No,4.0,5,48.0
4,95.0,Yes,6.0,2,77.0
6,75.0,Yes,6.0,6,63.0
1,93.0,Yes,6.0,8,68.0
9,82.0,No,7.0,8,81.0
1,58.0,No,8.0,0,29.0
5,82.0,Yes,,1,66.0
4,51.0,Yes,,7,36.0
3,,Yes,,0,29.0
6,45.0,No,5.0,2,32.0
2,,Yes,9.0,6,31.0
3,66.0,Yes,5.0,7,45.0
5,,Yes,4.0,4,65.0
9,64.0,No,6.0,1,57.0
2,81.0,No,5.0,209,58.0
8,,Yes,9.0,8,38.0
2,42.0,No,,9,22.0
5,59.0,Yes,8.0,6,48.0
7,,Yes,5.0,0,59.0
8,,Yes,6.0,209,58.0
1,87.0,Yes,9.0,8,62.0
6,42.0,No,4.0,6,30.0
1,81.0,Yes,6.0,1,56.0
2,63.0,Yes,7.0,5,40.0
1,82.0,No,5.0,8,59.0
5,79.0,Yes,7.0,3,65.0
9,,No,,9,43.0
6,59.0,Yes,4.0,1,48.0
1,50.0,Yes,6.0,109,24.0
1,71.0,Yes,,6,51.0
2,99.0,Yes,6.0,3,81.0
9,,No,5.0,6,62.0
3,,Yes,8.0,209,43.0
1,83.0,No,7.0,7,63.0
5,87.0,No,9.0,209,73.0
7,89.0,No,9.0,4,76.0
6,,Yes,6.0,6,43.0
1,61.0,No,6.0,5,34.0
5,74.0,No,5.0,7,57.0
5,86.0,No,,8,72.0
6,61.0,Yes,7.0,4,47.0
3,67.0,Yes,8.0,6,52.0
5,60.0,No,9.0,109,49.0
7,85.0,No,8.0,7,77.0
5,57.0,Yes,5.0,2,41.0
5,70.0,No,8.0,0,56.0
5,,No,7.0,5,89.0
3,85.0,No,9.0,7,65.0
1,76.0,Yes,4.0,2,49.0
5,,No,9.0,0,48.0
9,53.0,No,4.0,2,47.0
1,64.0,Yes,7.0,4,37.0
3,66.0,No,9.0,7,48.0
4,79.0,Yes,9.0,8,61.0
1,,Yes,,8,77.0
1,99.0,Yes,9.0,3,75.0
8,,No,5.0,7,57.0
2,,No,6.0,4,45.0
8,,No,9.0,2,82.0
7,99.0,No,5.0,4,90.0
2,68.0,No,,1,42.0
6,86.0,No,9.0,5,74.0
6,69.0,No,8.0,0,60.0
3,90.0,No,9.0,5,73.0
2,65.0,Yes,9.0,209,40.0
1,59.0,No,4.0,8,32.0
6,77.0,No,8.0,6,67.0
5,58.0,Yes,9.0,5,46.0
9,66.0,No,9.0,209,65.0
1,,Yes,9.0,9,42.0
7,79.0,No,5.0,4,69.0
5,77.0,No,7.0,0,62.0
5,91.0,Yes,4.0,8,75.0
2,62.0,Yes,,4,40.0
3,68.0,No,7.0,3,43.0
7,54.0,Yes,4.0,5,42.0
6,98.0,No,,4,84.0
2,42.0,No,4.0,0,15.0
6,49.0,No,9.0,209,39.0
2,54.0,No,5.0,3,26.0
2,95.0,No,9.0,7,73.0
2,55.0,No,9.0,4,34.0
3,,Yes,7.0,6,34.0
2,58.0,Yes,6.0,1,37.0
4,50.0,Yes,6.0,109,34.0
9,87.0,No,6.0,4,85.0
6,44.0,Yes,7.0,3,31.0
1,,No,,8,18.0
8,97.0,Yes,7.0,5,92.0
7,53.0,No,4.0,209,44.0
3,89.0,No,9.0,7,72.0
1,65.0,No,8.0,2,40.0
5,47.0,No,4.0,9,31.0
4,44.0,No,9.0,1,25.0
8,46.0,Yes,9.0,6,44.0
1,55.0,No,4.0,3,27.0
1,94.0,Yes,7.0,3,66.0
4,53.0,No,6.0,9,34.0
8,76.0,No,8.0,8,70.0
5,95.0,No,,109,81.0
2,80.0,Yes,,0,56.0
6,43.0,No,9.0,6,30.0
5,75.0,Yes,6.0,209,60.0
2,87.0,No,9.0,2,64.0
3,95.0,Yes,,1,74.0
9,56.0,Yes,7.0,3,52.0
7,86.0,Yes,9.0,1,84.0
7,75.0,No,,1,66.0
6,45.0,No,7.0,4,32.0
8,55.0,Yes,5.0,9,47.0
4,68.0,No,4.0,4,51.0
8,,No,9.0,7,67.0
4,77.0,No,7.0,8,57.0
8,,Yes,9.0,1,71.0
9,87.0,Yes,8.0,0,86.0
3,96.0,No,9.0,2,77.0
3,87.0,Yes,7.0,5,72.0
2,,No,6.0,4,24.0
3,80.0,No,7.0,7,60.0
3,75.0,Yes,5.0,7,55.0
5,68.0,Yes,7.0,209,54.0
5,53.0,No,8.0,8,39.0
2,43.0,No,7.0,109,19.0
6,83.0,No,7.0,0,68.0
5,95.0,Yes,8.0,209,83.0
6,81.0,Yes,7.0,5,72.0
1,,No,8.0,4,49.0
5,89.0,No,5.0,6,74.0
9,84.0,Yes,8.0,8,86.0
2,52.0,No,,209,26.0
1,85.0,Yes,5.0,5,60.0
9,57.0,Yes,8.0,209,54.0
9,,No,7.0,109,73.0
9,60.0,No,9.0,109,61.0
6,55.0,Yes,6.0,6,45.0
8,54.0,No,9.0,7,57.0
1,93.0,Yes,8.0,109,68.0
4,96.0,Yes,7.0,8,72.0
1,44.0,Yes,,7,17.0
8,45.0,No,4.0,8,37.0
1,77.0,No,6.0,4,54.0
3,42.0,No,,3,22.0
4,87.0,Yes,7.0,209,73.0
8,51.0,Yes,6.0,8,47.0
6,75.0,Yes,4.0,3,63.0
7,72.0,Yes,4.0,209,63.0
8,75.0,No,4.0,3,68.0
2,72.0,No,9.0,1,52.0
8,70.0,No,,3,64.0
3,60.0,Yes,6.0,1,38.0
7,66.0,Yes,8.0,7,60.0
3,66.0,No,,6,45.0
7,47.0,Yes,7.0,9,39.0
2,95.0,No,,1,75.0
6,76.0,Yes,8.0,1,67.0
3,,Yes,4.0,1,48.0
3,65.0,Yes,,0,44.0
9,41.0,Yes,8.0,5,37.0
7,51.0,Yes,8.0,5,41.0
5,61.0,No,7.0,0,47.0
7,56.0,No,8.0,0,45.0
9,46.0,No,7.0,5,43.0
1,82.0,Yes,5.0,5,54.0
7,43.0,No,5.0,3,32.0
6,76.0,No,8.0,2,64.0
9,,Yes,4.0,8,74.0
1,71.0,Yes,,5,50.0
4,50.0,No,4.0,0,33.0
9,40.0,No,8.0,2,36.0
4,64.0,No,7.0,0,45.0
3,81.0,No,4.0,2,58.0
9,91.0,No,5.0,109,85.0
2,63.0,Yes,9.0,109,41.0
4,92.0,No,8.0,2,78.0
6,82.0,No,4.0,6,63.0
2,95.0,No,9.0,7,76.0
8,56.0,No,4.0,6,51.0
8,47.0,No,7.0,1,36.0
1,98.0,No,7.0,9,74.0
3,84.0,Yes,7.0,9,65.0
9,66.0,Yes,9.0,6,65.0
5,91.0,Yes,6.0,9,79.0
6,57.0,No,9.0,2,46.0
4,66.0,No,8.0,209,47.0
2,61.0,Yes,8.0,0,42.0
8,,No,,1,46.0
6,41.0,No,5.0,9,34.0
5,44.0,No,8.0,0,27.0
9,57.0,Yes,4.0,209,52.0
1,42.0,Yes,8.0,1,17.0
5,66.0,Yes,6.0,209,53.0
6,,No,5.0,5,84.0
5,56.0,Yes,5.0,6,39.0
6,55.0,Yes,9.0,1,44.0
6,45.0,Yes,5.0,3,36.0
7,90.0,No,8.0,209,81.0
4,,Yes,5.0,4,30.0
8,89.0,Yes,,209,80.0
7,53.0,No,9.0,1,41.0
9,77.0,Yes,8.0,4,77.0
7,,No,4.0,7,69.0
3,54.0,No,,5,34.0
3,,Yes,5.0,3,64.0
8,86.0,Yes,5.0,9,78.0
5,87.0,Yes,6.0,7,74.0
4,,No,8.0,2,52.0
8,,Yes,5.0,3,76.0
6,,Yes,6.0,8,53.0
2,68.0,Yes,4.0,4,46.0
4,96.0,No,4.0,5,77.0
4,76.0,No,9.0,1,59.0
6,,No,9.0,8,35.0
6,68.0,Yes,9.0,7,61.0
1,,Yes,6.0,6,46.0
8,99.0,No,4.0,8,97.0
6,,Yes,9.0,4,86.0
3,45.0,Yes,,209,24.0
